[20/Mar/2018 06:21:26] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[20/Mar/2018 06:21:26] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:21:26] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[20/Mar/2018 06:29:55] "GET /admin/crm/server/add/?_to_field=id&_popup=1 HTTP/1.1" 200 5668
[20/Mar/2018 06:29:55] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:30:49] "GET /admin/crm/server/add/?_to_field=id&_popup=1 HTTP/1.1" 200 5668
[20/Mar/2018 06:30:49] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:31:10] "POST /admin/crm/server/add/?_to_field=id&_popup=1 HTTP/1.1" 200 5918
[20/Mar/2018 06:31:10] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:34:01] "GET /admin/crm/serverlist/add/?_to_field=id&_popup=1 HTTP/1.1" 200 8728
[20/Mar/2018 06:34:01] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[20/Mar/2018 06:34:01] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[20/Mar/2018 06:34:01] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:34:01] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
[20/Mar/2018 06:34:11] "GET /static/admin/img/calendar-icons.svg HTTP/1.1" 304 0
[20/Mar/2018 06:35:29] "POST /admin/crm/serverlist/add/?_to_field=id&_popup=1 HTTP/1.1" 200 403
[20/Mar/2018 06:35:29] "GET /static/admin/js/popup_response.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:37] "POST /admin/crm/hostserver03/add/ HTTP/1.1" 302 0
[20/Mar/2018 06:35:37] "GET /admin/crm/hostserver03/ HTTP/1.1" 200 18099
[20/Mar/2018 06:35:37] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[20/Mar/2018 06:35:37] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /crm/hostservers/ HTTP/1.1" 200 12803
[20/Mar/2018 06:35:55] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/css/dashboard.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/css/custom.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/js/jquery-3.2.1.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/js/holder.min.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:55] "GET /static/bootstrap/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:56] "GET /crm/hostservers03 HTTP/1.1" 301 0
/home/app/django/crm_serverhost/crm/views.py:147: UnorderedObjectListWarning: Pagination may yield inconsistent results with an unordered object_list: <class 'crm.models.HostServer03'> QuerySet.
  paginator = Paginator(hostserver_list, count_page)
[20/Mar/2018 06:35:56] "GET /crm/hostservers03/ HTTP/1.1" 200 11722
[20/Mar/2018 06:35:58] "GET /crm/hostservers03/ HTTP/1.1" 200 11722
[20/Mar/2018 06:35:58] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/css/dashboard.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/css/custom.css HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/js/jquery-3.2.1.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/js/holder.min.js HTTP/1.1" 304 0
[20/Mar/2018 06:35:58] "GET /static/bootstrap/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 0
[20/Mar/2018 06:36:00] "GET /crm/hostservers03/ HTTP/1.1" 200 11722
[20/Mar/2018 06:36:02] "GET /crm/hostservers03/ HTTP/1.1" 200 11722
[20/Mar/2018 06:36:02] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[20/Mar/2018 06:36:02] "GET /static/bootstrap/css/custom.css HTTP/1.1" 304 0
[20/Mar/2018 06:36:02] "GET /static/bootstrap/css/dashboard.css HTTP/1.1" 304 0
[20/Mar/2018 06:36:02] "GET /static/bootstrap/js/jquery-3.2.1.js HTTP/1.1" 304 0
[20/Mar/2018 06:36:02] "GET /static/bootstrap/js/holder.min.js HTTP/1.1" 304 0
[20/Mar/2018 06:36:02] "GET /static/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
